,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta1,"[10, 17, 27, 36, 45, 53, 64, 73, 82, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",1.0,0.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
1,time_series_strategy,cpd_frequency_delta3,"[10, 19, 28, 37, 46, 55, 65, 74, 83, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",1.0,1.33,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
2,time_series_strategy,cpd_prob_freq_delta1,"[10, 17, 28, 36, 45, 53, 64, 73, 83, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",1.0,0.89,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
3,time_series_strategy,cpd_prob_freq_delta3,"[10, 18, 29, 37, 46, 55, 65, 74, 83, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",1.0,1.33,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
4,threshold_strategy,gtest_frequency1,"[10, 18, 28, 32, 33, 36, 46, 54, 64, 73, 82, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",0.9,1.18,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
5,threshold_strategy,gtest_frequency3,"[10, 18, 28, 36, 46, 54, 64, 73, 82, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",1.0,0.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
6,threshold_strategy,fixed_frequency_delta_percentage1,"[1, 3, 4, 20, 21, 80, 81, 90]","[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",0.25,3.57,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
7,threshold_strategy,fixed_frequency_delta_percentage3,[90],"[9, 18, 27, 36, 45, 54, 63, 72, 81, 90]",0.0,,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,False,0,3,4
8,time_series_strategy,cpd_frequency_delta1,"[5, 9, 13, 19, 23, 28, 32, 37, 41, 45]","[4, 9, 13, 18, 22, 27, 31, 36, 41, 45]",1.0,0.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,False,0,3,4
9,time_series_strategy,cpd_frequency_delta3,"[5, 10, 14, 20, 24, 28, 33, 38, 41, 45]","[4, 9, 13, 18, 22, 27, 31, 36, 41, 45]",1.0,1.33,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,False,0,3,4
10,time_series_strategy,cpd_prob_freq_delta1,"[5, 7, 9, 13, 18, 23, 27, 32, 36, 41, 45]","[4, 9, 13, 18, 22, 27, 31, 36, 41, 45]",0.95,0.5,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,False,0,3,4
