,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta1,"[46, 85, 135, 180, 225, 264, 320, 364, 410, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,3.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
1,time_series_strategy,cpd_frequency_delta3,"[47, 86, 136, 181, 225, 266, 324, 364, 411, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.89,4.22,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
2,time_series_strategy,cpd_prob_freq_delta1,"[46, 85, 136, 179, 222, 264, 319, 362, 411, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,3.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
3,time_series_strategy,cpd_prob_freq_delta3,"[47, 87, 137, 180, 223, 266, 320, 364, 412, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,3.78,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
4,threshold_strategy,gtest_frequency1,"[46, 87, 136, 160, 161, 180, 226, 256, 258, 268, 318, 362, 410, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.82,6.15,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
5,threshold_strategy,gtest_frequency3,"[46, 87, 136, 180, 226, 268, 318, 362, 410, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,2.78,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
6,threshold_strategy,fixed_frequency_delta_percentage1,"[4, 13, 14, 15, 16, 23, 24, 32, 33, 97, 101, 207, 209, 272, 274, 306, 307, 368, 370, 371, 374, 400, 402, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.19,14.96,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
7,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 97, 101, 371, 374, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.0,18.2,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
8,time_series_strategy,cpd_frequency_delta1,"[21, 45, 65, 88, 159, 181, 202, 223]","[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",0.88,2.43,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3,9
9,time_series_strategy,cpd_frequency_delta3,"[22, 46, 65, 89, 113, 137, 159, 182, 203, 223]","[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",1.0,3.33,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3,9
10,time_series_strategy,cpd_prob_freq_delta1,"[21, 45, 66, 88, 112, 134, 159, 180, 202, 223]","[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",1.0,2.33,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3,9
11,time_series_strategy,cpd_prob_freq_delta3,"[23, 45, 67, 89, 114, 134, 160, 181, 203, 223]","[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",1.0,3.33,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3,9
