,detection_strategy,detection_feature,detection_results,f1,delay,ground_truth,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error
0,time_series_strategy,cpd_frequency_delta3,"[47, 86, 136, 181, 225, 266, 324, 364, 411, 449]",1.0,4.22,"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3
1,time_series_strategy,cpd_prob_freq_delta3,"[47, 87, 137, 180, 223, 266, 320, 364, 412, 449]",1.0,3.78,"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3
2,threshold_strategy,gtest_frequency3,"[46, 87, 136, 180, 226, 268, 318, 362, 410, 449]",1.0,2.78,"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3
3,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 97, 101, 371, 374, 449]",0.14,18.2,"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3
4,time_series_strategy,cpd_frequency_delta3,"[22, 46, 65, 89, 113, 137, 159, 182, 203, 223]",1.0,3.33,"[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3
5,time_series_strategy,cpd_prob_freq_delta3,"[23, 45, 67, 89, 114, 134, 160, 181, 203, 223]",1.0,3.33,"[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3
6,threshold_strategy,gtest_frequency3,"[22, 42, 68, 87, 116, 130, 159, 180, 204, 213, 218, 223]",0.9,5.0,"[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3
7,threshold_strategy,fixed_frequency_delta_percentage3,"[6, 9, 46, 54, 101, 109, 138, 142, 153, 156, 223]",0.63,6.7,"[19, 41, 64, 87, 110, 132, 155, 177, 201, 223]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb5k.mxml,cb,5000,Fixed,1000,Fixed,True,200,3
8,time_series_strategy,cpd_frequency_delta3,"[38, 69, 109, 141, 180, 212, 253, 285, 324, 350]",1.0,3.67,"[34, 66, 105, 138, 177, 210, 249, 282, 317, 350]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3
9,time_series_strategy,cpd_prob_freq_delta3,"[40, 68, 111, 139, 182, 211, 255, 350]",0.88,3.86,"[34, 66, 105, 138, 177, 210, 249, 282, 317, 350]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3
10,threshold_strategy,gtest_frequency3,"[37, 68, 108, 140, 179, 212, 252, 350]",0.88,2.43,"[34, 66, 105, 138, 177, 210, 249, 282, 317, 350]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3
11,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 7, 22, 30, 75, 84, 97, 103, 167, 170, 243, 247, 350]",0.48,11.25,"[34, 66, 105, 138, 177, 210, 249, 282, 317, 350]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3
12,time_series_strategy,cpd_frequency_delta3,"[47, 92, 139, 185, 230, 279, 323, 374, 418, 462]",1.0,3.44,"[42, 89, 135, 182, 229, 275, 321, 368, 415, 462]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,True,200,3
13,time_series_strategy,cpd_prob_freq_delta3,"[47, 92, 140, 184, 233, 278, 324, 372, 419, 462]",1.0,3.67,"[42, 89, 135, 182, 229, 275, 321, 368, 415, 462]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,True,200,3
14,threshold_strategy,gtest_frequency3,"[45, 92, 138, 184, 230, 278, 322, 372, 417, 462]",1.0,2.44,"[42, 89, 135, 182, 229, 275, 321, 368, 415, 462]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,True,200,3
15,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 99, 103, 377, 384, 462]",0.29,17.4,"[42, 89, 135, 182, 229, 275, 321, 368, 415, 462]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,True,200,3
16,time_series_strategy,cpd_frequency_delta3,"[24, 45, 69, 92, 116, 139, 164, 186, 209, 230]",1.0,3.22,"[19, 43, 66, 89, 113, 136, 160, 183, 206, 230]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,True,200,3
17,time_series_strategy,cpd_prob_freq_delta3,"[24, 45, 71, 91, 117, 138, 164, 186, 210, 230]",1.0,3.44,"[19, 43, 66, 89, 113, 136, 160, 183, 206, 230]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,True,200,3
18,threshold_strategy,gtest_frequency3,"[23, 45, 69, 91, 116, 137, 164, 185, 210, 230]",1.0,2.78,"[19, 43, 66, 89, 113, 136, 160, 183, 206, 230]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,True,200,3
19,threshold_strategy,fixed_frequency_delta_percentage3,"[6, 9, 48, 57, 104, 107, 142, 146, 157, 160, 230]",0.63,7.1,"[19, 43, 66, 89, 113, 136, 160, 183, 206, 230]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,True,200,3
20,time_series_strategy,cpd_frequency_delta3,"[37, 90, 128, 180, 220, 272, 311, 363, 399, 448]",1.0,3.56,"[34, 86, 124, 177, 216, 268, 308, 360, 395, 448]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,True,200,3
21,time_series_strategy,cpd_prob_freq_delta3,"[39, 88, 129, 179, 221, 270, 313, 362, 400, 448]",1.0,3.67,"[34, 86, 124, 177, 216, 268, 308, 360, 395, 448]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,True,200,3
22,threshold_strategy,gtest_frequency3,"[35, 90, 125, 181, 217, 272, 308, 448]",0.88,2.14,"[34, 86, 124, 177, 216, 268, 308, 360, 395, 448]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,True,200,3
23,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 7, 22, 30, 95, 104, 109, 112, 115, 123, 448]",0.32,13.7,"[34, 86, 124, 177, 216, 268, 308, 360, 395, 448]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,True,200,3
24,time_series_strategy,cpd_frequency_delta3,"[47, 94, 142, 189, 238, 286, 332, 384, 429, 474]",1.0,3.67,"[42, 91, 138, 188, 234, 283, 329, 378, 425, 474]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,True,200,3
25,time_series_strategy,cpd_prob_freq_delta3,"[46, 94, 142, 190, 239, 286, 333, 382, 429, 474]",1.0,3.67,"[42, 91, 138, 188, 234, 283, 329, 378, 425, 474]",../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,True,200,3
