,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta1,"[21, 44, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
1,time_series_strategy,cpd_frequency_delta3,"[22, 45, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
2,time_series_strategy,cpd_prob_freq_delta1,"[21, 44, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
3,time_series_strategy,cpd_prob_freq_delta3,"[22, 45, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
4,time_series_strategy,cramersv_frequency1,"[21, 44, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
5,time_series_strategy,cramersv_frequency3,"[22, 45, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
6,threshold_strategy,gtest_frequency1,"[22, 43, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
7,threshold_strategy,gtest_frequency3,"[22, 43, 67]","[22, 44, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,1000,Fixed,False,0,3,4
8,time_series_strategy,cpd_frequency_delta1,"[22, 44, 68]","[23, 45, 68]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
9,time_series_strategy,cpd_frequency_delta3,"[23, 46, 68]","[23, 45, 68]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
10,time_series_strategy,cpd_prob_freq_delta1,"[22, 44, 68]","[23, 45, 68]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
11,time_series_strategy,cpd_prob_freq_delta3,"[22, 24, 44, 46, 68]","[23, 45, 68]",0.67,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
12,time_series_strategy,cramersv_frequency1,"[22, 44, 68]","[23, 45, 68]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
13,time_series_strategy,cramersv_frequency3,"[22, 24, 44, 46, 68]","[23, 45, 68]",0.67,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
14,threshold_strategy,gtest_frequency1,"[22, 44, 68]","[23, 45, 68]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
15,threshold_strategy,gtest_frequency3,"[22, 44, 68]","[23, 45, 68]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,1000,Fixed,False,0,3,4
16,time_series_strategy,cpd_frequency_delta1,"[22, 45, 69]","[23, 46, 69]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
17,time_series_strategy,cpd_frequency_delta3,"[23, 46, 69]","[23, 46, 69]",1.0,0.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
18,time_series_strategy,cpd_prob_freq_delta1,"[23, 45, 69]","[23, 46, 69]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
19,time_series_strategy,cpd_prob_freq_delta3,"[23, 46, 69]","[23, 46, 69]",1.0,0.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
20,time_series_strategy,cramersv_frequency1,"[23, 45, 69]","[23, 46, 69]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
21,time_series_strategy,cramersv_frequency3,"[23, 25, 45, 47, 69]","[23, 46, 69]",0.67,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
22,threshold_strategy,gtest_frequency1,"[25, 26, 27, 32, 33, 35, 36, 37, 38, 40, 42, 43, 69]","[23, 46, 69]",0.29,6.58,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
23,threshold_strategy,gtest_frequency3,"[27, 43, 69]","[23, 46, 69]",0.5,3.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,1000,Fixed,False,0,3,4
24,time_series_strategy,cpd_frequency_delta1,"[19, 39, 61]","[20, 41, 61]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,1000,Fixed,False,0,3,4
