,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta1,"[42, 85, 90, 131]","[42, 86, 131]",0.8,1.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
1,time_series_strategy,cpd_frequency_delta3,"[43, 85, 91, 131]","[42, 86, 131]",0.8,2.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
2,time_series_strategy,cpd_prob_freq_delta1,"[40, 44, 59, 83, 87, 131]","[42, 86, 131]",0.57,5.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
3,time_series_strategy,cpd_prob_freq_delta3,"[41, 45, 84, 88, 131]","[42, 86, 131]",0.67,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
4,time_series_strategy,cramersv_frequency1,"[42, 85, 90, 131]","[42, 86, 131]",0.8,1.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
5,time_series_strategy,cramersv_frequency3,"[43, 85, 91, 131]","[42, 86, 131]",0.8,2.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
6,threshold_strategy,gtest_frequency1,"[41, 87, 88, 90, 131]","[42, 86, 131]",0.67,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
7,threshold_strategy,gtest_frequency3,"[41, 90, 131]","[42, 86, 131]",1.0,2.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,2000,Fixed,True,500,3,8
8,time_series_strategy,cpd_frequency_delta1,"[42, 86, 92, 133]","[43, 88, 133]",0.8,2.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,2000,Fixed,True,500,3,8
9,time_series_strategy,cpd_frequency_delta3,"[43, 88, 93, 133]","[43, 88, 133]",0.8,1.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,2000,Fixed,True,500,3,8
