,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta3,"[11, 23, 32]","[10, 21, 32]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1/ConditionalMove,0,Fixed,4000,Fixed,True,2000,3,6
1,time_series_strategy,cpd_frequency_delta3,"[11, 23, 33]","[10, 21, 33]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1/ConditionalMove_2,2,Fixed,4000,Fixed,True,2000,3,6
2,time_series_strategy,cpd_frequency_delta3,"[12, 24, 33]","[10, 22, 33]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,4000,Fixed,True,2000,3,6
3,time_series_strategy,cpd_frequency_delta3,"[10, 20, 29]","[9, 19, 29]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,4000,Fixed,True,2000,3,6
4,time_series_strategy,cpd_frequency_delta3,"[10, 20, 30]","[9, 19, 30]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,4000,Fixed,True,2000,3,6
5,time_series_strategy,cpd_frequency_delta3,"[10, 21, 31]","[9, 20, 31]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,4000,Fixed,True,2000,3,6
6,time_series_strategy,cpd_frequency_delta3,"[10, 21, 31]","[9, 20, 31]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,4000,Fixed,True,2000,3,6
7,time_series_strategy,cpd_frequency_delta3,"[10, 22, 32]","[9, 21, 32]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,4000,Fixed,True,2000,3,6
8,time_series_strategy,cpd_frequency_delta3,"[11, 23, 32]","[10, 21, 32]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_5.mxml.gz,Size1/ConditionalToSequence_5,5,Fixed,4000,Fixed,True,2000,3,6
9,time_series_strategy,cpd_frequency_delta3,"[10, 21, 29]","[9, 19, 29]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\Frequency\output\Frequency.mxml.gz,Size1/Frequency,0,Fixed,4000,Fixed,True,2000,3,6
