,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,padrao_mudanca,tipo_mudanca,perspectiva,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta,"[13, 27, 32, 39, 44]","[22, 44]",0.4,10.25,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cd.csv,cd,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
1,time_series_strategy,cpd_prob_freq_delta,"[19, 39, 44]","[22, 44]",0.67,10.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cd.csv,cd,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
2,time_series_strategy,cramersv_frequency,"[8, 13, 18, 23, 28, 33, 38, 44]","[22, 44]",0.25,8.71,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cd.csv,cd,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
3,threshold_strategy,cramersv_frequency,[44],"[22, 44]",0.0,,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cd.csv,cd,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
4,time_series_strategy,cpd_average_time_delta,"[8, 13, 20, 31, 44]","[22, 44]",0.4,8.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cd.csv,cd,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
5,time_series_strategy,cpd_time_std_delta,"[11, 25, 44]","[22, 44]",0.67,7.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cd.csv,cd,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
6,threshold_strategy,gtest_frequency,[44],"[22, 44]",0.0,,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cd.csv,cd,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
7,time_series_strategy,cpd_frequency_delta,"[26, 33, 46]","[23, 46]",0.67,6.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cf.csv,cf,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
8,time_series_strategy,cpd_prob_freq_delta,"[25, 30, 46]","[23, 46]",0.67,4.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cf.csv,cf,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
9,time_series_strategy,cramersv_frequency,"[25, 46]","[23, 46]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cf.csv,cf,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
10,threshold_strategy,cramersv_frequency,"[23, 46]","[23, 46]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cf.csv,cf,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
11,time_series_strategy,cpd_average_time_delta,"[22, 27, 46]","[23, 46]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cf.csv,cf,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
12,time_series_strategy,cpd_time_std_delta,"[23, 46]","[23, 46]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cf.csv,cf,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
13,threshold_strategy,gtest_frequency,"[24, 46]","[23, 46]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cf.csv,cf,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
14,time_series_strategy,cpd_frequency_delta,"[25, 47]","[23, 47]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cp.csv,cp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
15,time_series_strategy,cpd_prob_freq_delta,"[25, 47]","[23, 47]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cp.csv,cp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
16,time_series_strategy,cramersv_frequency,"[24, 47]","[23, 47]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cp.csv,cp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
17,threshold_strategy,cramersv_frequency,"[21, 47]","[23, 47]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cp.csv,cp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
18,time_series_strategy,cpd_average_time_delta,"[22, 27, 47]","[23, 47]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cp.csv,cp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
